snr_db,window,stat,cond,alpha,n_seeds,tpr_mean,tpr_lo,tpr_hi,realised_fpr_mean
10.0,8,cf,CDLB,0.05,5,0.05166666666666666,-0.004246523082110931,0.10757985641544425,0.05166666666666666
10.0,8,cf,CDLB,0.1,5,0.08833333333333333,0.0015771364862181836,0.17508953018044848,0.10666666666666666
10.0,8,cf,CDLD,0.01,5,1.0,1.0,1.0,0.011666666666666667
10.0,8,cf,CDLD,0.05,5,1.0,1.0,1.0,0.05166666666666666
10.0,8,cf,CDLD,0.1,5,1.0,1.0,1.0,0.10666666666666666
10.0,8,cf,CDLE,0.01,5,1.0,1.0,1.0,0.015
10.0,8,cf,CDLE,0.05,5,1.0,1.0,1.0,0.05333333333333333
10.0,8,cf,CDLE,0.1,5,1.0,1.0,1.0,0.10666666666666665
10.0,8,cf,S2,0.01,5,0.07166666666666666,-0.009014957572302237,0.15234829090563556,0.013333333333333332
10.0,8,cf,S2,0.05,5,0.22000000000000003,0.08656524345479638,0.3534347565452037,0.05333333333333333
10.0,8,cf,S2,0.1,5,0.33166666666666667,0.19142488479940775,0.47190844853392555,0.11000000000000001
10.0,8,cf,V30,0.01,5,0.023333333333333334,-0.007186521900809373,0.05385318856747604,0.015
10.0,8,cf,V30,0.05,5,0.07333333333333333,-0.00859924339989053,0.1552659100665572,0.05333333333333333
10.0,8,cf,V30,0.1,5,0.11666666666666667,0.0002894126065433461,0.23304392072678998,0.10666666666666665
10.0,8,cf,V90,0.01,5,0.025,-0.0013802873173609578,0.05138028731736096,0.013333333333333332
10.0,8,cf,V90,0.05,5,0.09166666666666667,0.002356483647022331,0.180976849686311,0.05833333333333333
10.0,8,cf,V90,0.1,5,0.15,0.027570278713734547,0.2724297212862654,0.11499999999999999
10.0,8,cf,V150,0.01,5,0.018333333333333333,-0.009431117718644598,0.046097784385311265,0.015
10.0,8,cf,V150,0.05,5,0.05500000000000001,-0.024343527743463142,0.13434352774346314,0.05
10.0,8,cf,V150,0.1,5,0.09666666666666666,0.0033695728522934593,0.18996376048103986,0.10166666666666666
10.0,8,cf,V250,0.01,5,0.013333333333333332,-0.005463288885825337,0.032129955552492,0.015
10.0,8,cf,V250,0.05,5,0.05,-0.010776038780040964,0.11077603878004097,0.05333333333333333
10.0,8,cf,V250,0.1,5,0.09,0.006130215376833614,0.17386978462316638,0.10833333333333332
10.0,8,cf,V400,0.01,5,0.009999999999999998,-0.012432195019482502,0.032432195019482496,0.013333333333333332
10.0,8,cf,V400,0.05,5,0.04166666666666667,-0.011093907968055247,0.09442724130138859,0.05166666666666666
10.0,8,cf,V400,0.1,5,0.09,0.024804428548019786,0.1551955714519802,0.11000000000000001
10.0,8,ct,DS200,0.01,5,0.011666666666666667,-0.004025639069570321,0.027358972402903657,0.011666666666666667
10.0,8,ct,DS200,0.05,5,0.056666666666666664,0.0022085362673639544,0.11112479706596937,0.05166666666666667
10.0,8,ct,DS200,0.1,5,0.09833333333333334,0.024294797194725534,0.17237186947194116,0.09833333333333333
10.0,8,ct,DS300,0.01,5,0.008333333333333333,-0.004339346781596965,0.02100601344826363,0.015
10.0,8,ct,DS300,0.05,5,0.06166666666666667,0.013912348931052802,0.10942098440228054,0.05
10.0,8,ct,DS300,0.1,5,0.1,0.032942479942442024,0.16705752005755797,0.10499999999999998
10.0,8,ct,DS600,0.01,5,0.01,-0.0034910982059058616,0.023491098205905864,0.015
10.0,8,ct,DS600,0.05,5,0.065,0.01153390402266849,0.11846609597733151,0.05166666666666666
10.0,8,ct,DS600,0.1,5,0.10333333333333332,0.025008378347822102,0.18165828831884454,0.11333333333333333
10.0,8,ct,DS1000,0.01,5,0.018333333333333333,-0.006370268042221787,0.043036934708888454,0.015
10.0,8,ct,DS1000,0.05,5,0.05499999999999999,0.015871710621567746,0.09412828937843223,0.05
10.0,8,ct,DS1000,0.1,5,0.10833333333333335,0.04167616025717692,0.17499050640948977,0.10500000000000001
10.0,8,ct,CDLA,0.01,5,0.018333333333333333,-0.008449729756099915,0.04511639642276658,0.015
10.0,8,ct,CDLA,0.05,5,0.06333333333333332,0.010269243780744827,0.11639742288592182,0.05166666666666666
10.0,8,ct,CDLA,0.1,5,0.11000000000000001,0.060701265442850455,0.15929873455714957,0.10333333333333335
10.0,8,ct,CDLB,0.01,5,0.013333333333333332,0.0040785163160073565,0.02258815035065931,0.013333333333333332
10.0,8,ct,CDLB,0.05,5,0.045,0.005193526865000339,0.08480647313499966,0.05
10.0,8,ct,CDLB,0.1,5,0.095,0.04724568226438612,0.14275431773561387,0.10833333333333332
10.0,8,ct,CDLD,0.01,5,0.028333333333333332,-0.007210465856634398,0.06387713252330106,0.013333333333333332
10.0,8,ct,CDLD,0.05,5,0.06333333333333332,0.008288563417331342,0.11837810324933531,0.05
10.0,8,ct,CDLD,0.1,5,0.11833333333333333,0.029203150865533475,0.2074635158011332,0.10166666666666668
10.0,8,ct,CDLE,0.01,5,0.008333333333333333,0.0010167580576243103,0.015649908609042355,0.015
10.0,8,ct,CDLE,0.05,5,0.05500000000000001,0.017264625586167814,0.0927353744138322,0.05166666666666667
10.0,8,ct,CDLE,0.1,5,0.12166666666666667,0.05050380347117665,0.19282952986215668,0.11000000000000001
10.0,8,ct,S2,0.01,5,0.016666666666666666,-0.007599668273251276,0.04093300160658461,0.015
10.0,8,ct,S2,0.05,5,0.06666666666666667,0.0024639791846463033,0.13086935414868703,0.05166666666666666
10.0,8,ct,S2,0.1,5,0.125,0.05482187530012843,0.19517812469987156,0.11166666666666666
10.0,8,ct,V30,0.01,5,0.011666666666666667,-0.00013095647485226666,0.0234642898081856,0.015
10.0,8,ct,V30,0.05,5,0.06166666666666667,-0.0011025562782812706,0.12443588961161461,0.05166666666666666
10.0,8,ct,V30,0.1,5,0.10666666666666666,0.024734089933442796,0.18859924339989054,0.10500000000000001
10.0,8,ct,V90,0.01,5,0.23666666666666664,0.12580183880647122,0.34753149452686205,0.013333333333333332
10.0,8,ct,V90,0.05,5,0.355,0.24907377765081756,0.4609262223491824,0.05166666666666667
10.0,8,ct,V90,0.1,5,0.42833333333333334,0.3033933035994326,0.5532733630672341,0.10500000000000001
10.0,8,ct,V150,0.01,5,0.7433333333333334,0.6354541587140569,0.8512125079526099,0.015
10.0,8,ct,V150,0.05,5,0.82,0.7473482127319603,0.8926517872680396,0.05166666666666667
10.0,8,ct,V150,0.1,5,0.8583333333333332,0.7885376535771649,0.9281290130895015,0.10333333333333335
10.0,8,ct,V250,0.01,5,0.9883333333333333,0.9656637539780581,1.0110029126886084,0.013333333333333332
10.0,8,ct,V250,0.05,5,0.99,0.971490365965348,1.008509634034652,0.05
10.0,8,ct,V250,0.1,5,0.9916666666666668,0.9737447905765165,1.009588542756817,0.10333333333333335
10.0,8,ct,V400,0.01,5,1.0,1.0,1.0,0.015
10.0,8,ct,V400,0.05,5,1.0,1.0,1.0,0.05166666666666667
10.0,8,ct,V400,0.1,5,1.0,1.0,1.0,0.10833333333333335
10.0,8,ymag,DS200,0.01,5,0.021666666666666667,-0.0010029126886085225,0.04433624602194186,0.016666666666666666
10.0,8,ymag,DS200,0.05,5,0.06000000000000001,0.021701379905221217,0.0982986200947788,0.08333333333333333
10.0,8,ymag,DS200,0.1,5,0.10333333333333335,0.01844844628749527,0.1882182203791714,0.15333333333333332
10.0,8,ymag,DS300,0.01,5,0.01,-0.008509634034651952,0.028509634034651954,0.021666666666666667
10.0,8,ymag,DS300,0.05,5,0.03,-0.0023918595606409188,0.06239185956064092,0.08666666666666667
10.0,8,ymag,DS300,0.1,5,0.075,0.024309279540278818,0.12569072045972118,0.15499999999999997
10.0,8,ymag,DS600,0.01,5,0.003333333333333333,-0.005921483683992643,0.01258815035065931,0.016666666666666666
10.0,8,ymag,DS600,0.05,5,0.030000000000000006,0.00019000596274908535,0.05980999403725093,0.085
10.0,8,ymag,DS600,0.1,5,0.06166666666666667,0.015046817730148945,0.10828651560318439,0.14666666666666667
10.0,8,ymag,DS1000,0.01,5,0.006666666666666666,-0.0068244315392391956,0.02015776487257253,0.013333333333333332
10.0,8,ymag,DS1000,0.05,5,0.03833333333333333,-0.0137121568893065,0.09037882355597315,0.08166666666666667
10.0,8,ymag,DS1000,0.1,5,0.065,-0.0034011748954006493,0.13340117489540065,0.14666666666666667
10.0,8,ymag,CDLA,0.01,5,0.01666666666666667,-0.005283059160460398,0.03861639249379374,0.02
10.0,8,ymag,CDLA,0.05,5,0.09333333333333334,0.022623260715198615,0.16404340595146805,0.08333333333333333
10.0,8,ymag,CDLA,0.1,5,0.17166666666666666,0.038231910121463014,0.3051014232118703,0.15166666666666667
10.0,8,ymag,CDLB,0.01,5,0.03166666666666666,0.023009578052636932,0.04032375528069639,0.015
10.0,8,ymag,CDLB,0.05,5,0.09333333333333334,0.05645895532320331,0.13020771134346337,0.08666666666666667
10.0,8,ymag,CDLB,0.1,5,0.15166666666666667,0.10129375949955426,0.20203957383377907,0.14833333333333334
10.0,8,ymag,CDLD,0.01,5,0.8300000000000001,0.47572359792149255,1.1842764020785075,0.02
10.0,8,ymag,CDLD,0.05,5,0.9866666666666667,0.9596844702548549,1.0136488630784783,0.08333333333333333
10.0,8,ymag,CDLD,0.1,5,0.9983333333333334,0.9937059248246705,1.0029607418419964,0.14833333333333334
10.0,8,ymag,CDLE,0.01,5,0.79,0.3236637383352979,1.2563362616647022,0.016666666666666666
10.0,8,ymag,CDLE,0.05,5,0.9866666666666667,0.9596844702548549,1.0136488630784783,0.08
10.0,8,ymag,CDLE,0.1,5,0.9983333333333334,0.9937059248246705,1.0029607418419964,0.15
10.0,8,ymag,S2,0.01,5,0.023333333333333334,-0.001370268042221786,0.04803693470888845,0.018333333333333333
10.0,8,ymag,S2,0.05,5,0.10833333333333332,0.036273423846738026,0.18039324281992863,0.085
10.0,8,ymag,S2,0.1,5,0.18166666666666664,0.07036811254646268,0.2929652207868706,0.15166666666666667
10.0,8,ymag,V30,0.01,5,0.021666666666666667,-0.0021543765915585204,0.04548770992489186,0.011666666666666665
10.0,8,ymag,V30,0.05,5,0.08,0.026433873821133484,0.1335661261788665,0.08333333333333333
10.0,8,ymag,V30,0.1,5,0.13999999999999999,0.07480442854801977,0.2051955714519802,0.15
10.0,8,ymag,V90,0.01,5,0.016666666666666666,0.00030630698768702516,0.033027026345646304,0.015
10.0,8,ymag,V90,0.05,5,0.10499999999999998,0.036912593616300116,0.17308740638369985,0.08499999999999999
10.0,8,ymag,V90,0.1,5,0.16,0.08779166623773713,0.23220833376226288,0.15
10.0,8,ymag,V150,0.01,5,0.021666666666666667,0.0028700444475080016,0.04046328888582533,0.019999999999999997
10.0,8,ymag,V150,0.05,5,0.08166666666666668,0.029211363107093297,0.13412197022624006,0.085
10.0,8,ymag,V150,0.1,5,0.15166666666666667,0.07726749256296407,0.2260658407703693,0.15499999999999997
10.0,8,ymag,V250,0.01,5,0.01666666666666667,-0.004027733303396064,0.037361066636729404,0.016666666666666666
10.0,8,ymag,V250,0.05,5,0.07333333333333333,0.01238138669256484,0.13428527997410183,0.08333333333333333
10.0,8,ymag,V250,0.1,5,0.12166666666666667,0.04901487939862699,0.19431845393470637,0.14833333333333332
10.0,8,ymag,V400,0.01,5,0.01,0.00134291138597027,0.018657088614029732,0.015
10.0,8,ymag,V400,0.05,5,0.05333333333333333,0.028413975884246642,0.07825269078242002,0.08833333333333333
10.0,8,ymag,V400,0.1,5,0.09833333333333334,0.047431839738040465,0.14923482692862622,0.15333333333333332
10.0,32,resid,DS200,0.01,5,1.0,1.0,1.0,0.03333333333333333
10.0,32,resid,DS200,0.05,5,1.0,1.0,1.0,0.07999999999999999
10.0,32,resid,DS200,0.1,5,1.0,1.0,1.0,0.12666666666666665
10.0,32,resid,DS300,0.01,5,1.0,1.0,1.0,0.026666666666666665
10.0,32,resid,DS300,0.05,5,1.0,1.0,1.0,0.07999999999999999
10.0,32,resid,DS300,0.1,5,1.0,1.0,1.0,0.12666666666666665
10.0,32,resid,DS600,0.01,5,1.0,1.0,1.0,0.026666666666666665
10.0,32,resid,DS600,0.05,5,1.0,1.0,1.0,0.07333333333333333
10.0,32,resid,DS600,0.1,5,1.0,1.0,1.0,0.12
10.0,32,resid,DS1000,0.01,5,1.0,1.0,1.0,0.03333333333333333
10.0,32,resid,DS1000,0.05,5,1.0,1.0,1.0,0.07333333333333333
10.0,32,resid,DS1000,0.1,5,1.0,1.0,1.0,0.12
10.0,32,resid,CDLA,0.01,5,0.0,0.0,0.0,0.013333333333333332
10.0,32,resid,CDLA,0.05,5,0.0,0.0,0.0,0.07333333333333333
10.0,32,resid,CDLA,0.1,5,0.0,0.0,0.0,0.12
