snr_db,window,stat,cond,n_seeds,auc_mean,ci_lo,ci_hi,seed0,seed1,seed2,seed3,seed4
5.0,1,comb,CDLA,5,0.43040256076388894,0.3999233025206368,0.4608818190071411,0.4117936197916667,0.46451497395833335,0.4064800347222222,0.44670681423611114,0.4225173611111111
5.0,1,comb,CDLB,5,0.7077322048611111,0.6783761610440081,0.7370882486782141,0.6916796875,0.7334255642361112,0.7203526475694444,0.6752593315972222,0.7179437934027778
5.0,1,comb,CDLD,5,0.5753497178819444,0.321839418860826,0.8288600169030629,0.45657552083333336,0.9298719618055555,0.43699652777777775,0.48751519097222223,0.5657893880208333
5.0,1,comb,CDLE,5,0.6141688368055556,0.3833106973730983,0.8450269762380128,0.5024761284722222,0.9354253472222223,0.47880316840277776,0.5495290798611111,0.6046104600694444
5.0,1,comb,S2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1,comb,V30,5,0.5184478081597221,0.5047745540835816,0.5321210622358626,0.5174560546875,0.5179947916666666,0.5009830729166667,0.5277159288194444,0.5280891927083333
5.0,1,comb,V90,5,0.6318189019097222,0.6159460576787026,0.6476917461407419,0.6290196397569444,0.6266579861111111,0.6273589409722222,0.6541872829861111,0.6218706597222222
5.0,1,comb,V150,5,0.7723044704861112,0.757486404112438,0.7871225368597844,0.77759765625,0.7531629774305556,0.7751106770833334,0.7851204427083334,0.7705305989583333
5.0,1,comb,V250,5,0.8734976128472223,0.8702344478759437,0.8767607778185008,0.8764236111111111,0.8749913194444444,0.8694216579861112,0.8736100260416667,0.8730414496527777
5.0,1,comb,V400,5,0.9437109374999999,0.9412396418952823,0.9461822331047175,0.9454546440972222,0.9413997395833333,0.9421994357638889,0.9435221354166666,0.9459787326388889
5.0,1,conf_a,DS200,5,0.8819402126736111,0.8717578542112693,0.892122571135953,0.8853521050347222,0.8743174913194445,0.8849641927083334,0.8728021918402777,0.8922650824652778
5.0,1,conf_a,DS300,5,0.9898626302083333,0.9874258710738969,0.9922993893427697,0.9897960069444445,0.990146484375,0.9890115017361111,0.9874967447916667,0.9928624131944445
5.0,1,conf_a,DS600,5,0.9999594184027778,0.9999151562317983,1.0000036805737573,0.9999620225694444,0.9999620225694444,0.9999012586805556,0.9999739583333334,0.9999978298611111
5.0,1,conf_a,DS1000,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1,conf_a,CDLA,5,0.39926247829861106,0.39117917679403846,0.40734577980318365,0.400087890625,0.407705078125,0.3931570095486111,0.40293891059027775,0.39242350260416664
5.0,1,conf_a,CDLB,5,0.7756541883680556,0.7546924575398286,0.7966159191962825,0.7770724826388888,0.7861458333333333,0.7969146050347222,0.7554790581597223,0.7626589626736111
5.0,1,conf_a,CDLD,5,0.5804840494791668,0.5121299454287387,0.6488381535295948,0.5820491536458333,0.6416525607638889,0.6157546657986112,0.5656266276041667,0.4973372395833333
5.0,1,conf_a,CDLE,5,0.6869123263888889,0.6174248012972682,0.7563998514805096,0.6973095703125,0.747919921875,0.7280447048611111,0.6489919704861111,0.6122954644097223
5.0,1,conf_a,S2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1,conf_a,V30,5,0.5347889539930556,0.5244332664487135,0.5451446415373977,0.5415066189236111,0.5240077039930555,0.5313189019097222,0.532373046875,0.5447384982638889
5.0,1,conf_a,V90,5,0.7076366102430556,0.6882758224667423,0.7269973980193688,0.7185129123263889,0.7030783420138889,0.7272064887152778,0.7022878689236111,0.6870974392361111
5.0,1,conf_a,V150,5,0.8119740668402777,0.7983415581994631,0.8256065754810924,0.8264892578125,0.8137065972222223,0.8165288628472223,0.7976128472222223,0.8055327690972223
5.0,1,conf_a,V250,5,0.8927169053819446,0.8815889041587766,0.9038449066051126,0.90162109375,0.9026519097222222,0.8904871961805556,0.8839740668402778,0.8848502604166667
5.0,1,conf_a,V400,5,0.9467958984375,0.9408831632679224,0.9527086336070776,0.9500840928819444,0.9408544921875,0.9481570095486112,0.9428645833333333,0.9520193142361111
5.0,1,conf_d,DS200,5,0.9062211371527779,0.8933879683099839,0.9190543059955718,0.9050944010416667,0.9137814670138888,0.9125249565972222,0.8887169053819445,0.9109879557291667
5.0,1,conf_d,DS300,5,0.9924009331597222,0.9903739641036219,0.9944279022158226,0.99248046875,0.9931532118055556,0.9938357204861111,0.9896153428819444,0.992919921875
5.0,1,conf_d,DS600,5,0.9999837239583333,0.9999657994085516,1.0000016485081151,0.9999956597222223,0.9999869791666667,0.9999609375,0.9999793836805555,0.9999956597222223
5.0,1,conf_d,DS1000,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1,conf_d,CDLA,5,0.4008179253472222,0.3753804804268106,0.4262553702676338,0.4164946831597222,0.3785481770833333,0.38620496961805556,0.4272119140625,0.3956298828125
5.0,1,conf_d,CDLB,5,0.7985149739583333,0.7929624444480887,0.8040675034685778,0.7954519314236111,0.7965646701388889,0.7945952690972222,0.8053835720486111,0.8005794270833333
