slot,AINR_none,AINR_none_lo,AINR_none_hi,AINR_ungated,AINR_ungated_lo,AINR_ungated_hi,AINR_gated,AINR_gated_lo,AINR_gated_hi,AINR_trig,AINR_trig_lo,AINR_trig_hi,DiscNRX_none,DiscNRX_none_lo,DiscNRX_none_hi,DiscNRX_ungated,DiscNRX_ungated_lo,DiscNRX_ungated_hi,DiscNRX_gated,DiscNRX_gated_lo,DiscNRX_gated_hi,DiscNRX_trig,DiscNRX_trig_lo,DiscNRX_trig_hi
730,0.548,0.196541,0.899459,0.6,0,1,0,0,0,0,0,0,0.756,0.527453,0.984547,0.8,0.244711,1,0,0,0,0,0,0
740,0.564,0.225137,0.902863,0.6,0,1,0,0,0,0,0,0,0.772,0.563046,0.980954,0.8,0.244711,1,0,0,0,0,0,0
750,0.548,0.217801,0.878199,0.6,0,1,0,0,0,0,0,0,0.76,0.568445,0.951555,0.8,0.244711,1,0,0,0,0,0,0
760,0.524,0.184683,0.863317,0.6,0,1,0,0,0,0,0,0,0.764,0.570523,0.957477,0.8,0.244711,1,0,0,0,0,0,0
770,0.492,0.127196,0.856804,0.6,0,1,0,0,0,0,0,0,0.756,0.559362,0.952638,0.8,0.244711,1,0,0,0,0,0,0
780,0.492,0.0867531,0.897247,0.6,0,1,0,0,0,0,0,0,0.72,0.479232,0.960768,0.8,0.244711,1,0,0,0,0,0,0
790,0.456,0.0731323,0.838868,0.6,0,1,0,0,0,0,0,0,0.704,0.462338,0.945662,0.8,0.244711,1,0,0,0,0,0,0
800,0.492,0.131019,0.852981,0.6,0,1,0,0,0,0,0,0,0.704,0.442719,0.965281,0.8,0.244711,1,0,0,0,0,0,0
810,0.488,0.123196,0.852804,0.6,0,1,0,0,0,0,0,0,0.688,0.417899,0.958101,0.8,0.244711,1,0,0,0,0,0,0
820,0.48,0.137697,0.822303,0.6,0,1,0,0,0,0,0,0,0.684,0.42213,0.94587,0.8,0.244711,1,0,0,0,0,0,0
830,0.508,0.169046,0.846954,0.6,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.708,0.472673,0.943327,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
840,0.504,0.140975,0.867025,0.6,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.712,0.481304,0.942696,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
850,0.476,0.125507,0.826493,0.6,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.736,0.527194,0.944806,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
860,0.464,0.109136,0.818864,0.6,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.744,0.527936,0.960064,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
870,0.5,0.129576,0.870424,0.6,0,1,0.004,0,0.0151058,0.008,0,0.0216017,0.756,0.560147,0.951853,0.8,0.244711,1,0.004,0,0.0151058,0.008,0,0.0216017
880,0.48,0.156214,0.803786,0.6,0,1,0,0,0,0.004,0,0.0151058,0.748,0.538309,0.957691,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
890,0.476,0.149653,0.802347,0.6,0,1,0,0,0,0.004,0,0.0151058,0.76,0.544937,0.975063,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
900,0.492,0.149877,0.834123,0.6,0,1,0,0,0,0.004,0,0.0151058,0.756,0.50495,1,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
910,0.492,0.150328,0.833672,0.6,0,1,0,0,0,0.004,0,0.0151058,0.76,0.527706,0.992294,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
920,0.472,0.122741,0.821259,0.6,0,1,0,0,0,0,0,0,0.76,0.53858,0.98142,0.8,0.244711,1,0,0,0,0,0,0
930,0.48,0.0916945,0.868305,0.6,0,1,0,0,0,0,0,0,0.772,0.541304,1,0.8,0.244711,1,0,0,0,0,0,0
940,0.5,0.125437,0.874563,0.6,0,1,0,0,0,0,0,0,0.776,0.557101,0.994899,0.8,0.244711,1,0,0,0,0,0,0
950,0.492,0.105445,0.878555,0.6,0,1,0,0,0,0,0,0,0.776,0.573948,0.978052,0.8,0.244711,1,0,0,0,0,0,0
960,0.496,0.100456,0.891544,0.6,0,1,0,0,0,0,0,0,0.776,0.592334,0.959666,0.8,0.244711,1,0,0,0,0,0,0
970,0.508,0.106576,0.909424,0.6,0,1,0,0,0,0,0,0,0.784,0.597007,0.970993,0.8,0.244711,1,0,0,0,0,0,0
980,0.496,0.105951,0.886049,0.6,0,1,0,0,0,0,0,0,0.772,0.589007,0.954993,0.8,0.244711,1,0,0,0,0,0,0
990,0.52,0.134484,0.905516,0.6,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.744,0.538919,0.949081,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
1000,0.536,0.193967,0.878033,0.6,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.74,0.507706,0.972294,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
