cond,snr_db,receiver,mode,slot,rolling_bler,ci_lo,ci_hi,n_seeds
S2,3.0,AINR,none,970,0.984,0.9516213643058259,1.016378635694174,5
S2,3.0,AINR,none,980,0.9960000000000001,0.984894219579209,1.0071057804207912,5
S2,3.0,AINR,none,990,1.0,1.0,1.0,5
S2,3.0,AINR,none,1000,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,50,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,60,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,70,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,80,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,90,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,100,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,110,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,120,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,130,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,140,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,150,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,160,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,170,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,180,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,190,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,200,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,210,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,220,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,230,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,240,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,250,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,260,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,270,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,280,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,290,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,300,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,310,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,320,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,330,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,340,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,350,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,360,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,370,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,380,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,390,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,400,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,410,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,420,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,430,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,440,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,450,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,460,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,470,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,480,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,490,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,500,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,510,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,520,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,530,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,540,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,550,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,560,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,570,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,580,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,590,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,600,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,610,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,620,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,630,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,640,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,650,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,660,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,670,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,680,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,690,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,700,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,710,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,720,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,730,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,740,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,750,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,760,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,770,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,780,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,790,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,800,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,810,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,820,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,830,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,840,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,850,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,860,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,870,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,880,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,890,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,900,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,910,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,920,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,930,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,940,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,950,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,960,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,970,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,980,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,990,1.0,1.0,1.0,5
S2,3.0,AINR,ungated,1000,1.0,1.0,1.0,5
S2,3.0,AINR,gated,50,0.8800000000000001,0.677490730370236,1.0825092696297642,5
S2,3.0,AINR,gated,60,0.8240000000000001,0.5466888630371374,1.1013111369628628,5
S2,3.0,AINR,gated,70,0.72,0.34215856466142563,1.0978414353385744,5
S2,3.0,AINR,gated,80,0.6359999999999999,0.18269910028156294,1.0893008997184368,5
S2,3.0,AINR,gated,90,0.556,0.030848050393225135,1.081151949606775,5
S2,3.0,AINR,gated,100,0.532,-0.009684368869674165,1.0736843688696742,5
S2,3.0,AINR,gated,110,0.4800000000000001,-0.1136660341824538,1.073666034182454,5
S2,3.0,AINR,gated,120,0.4720000000000001,-0.12879090114282332,1.0727909011428234,5
S2,3.0,AINR,gated,130,0.4640000000000001,-0.14413655434150097,1.0721365543415011,5
S2,3.0,AINR,gated,140,0.4600000000000001,-0.15233047500077823,1.0723304750007783,5
S2,3.0,AINR,gated,150,0.43600000000000005,-0.20400522609177618,1.0760052260917763,5
S2,3.0,AINR,gated,160,0.44400000000000006,-0.18629584605112437,1.0742958460511245,5
S2,3.0,AINR,gated,170,0.44400000000000006,-0.18629584605112437,1.0742958460511245,5
