seed,cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,resid,tdisp,conf_a,conf_d,cf,ct,ymag,crc_a,crc_d,err_AINR,err_DiscNRX,err_LS-LIN,err_LS-LMMSE,err_PCSI
4,CDLB,B,100.0,3.0,10.0,test,7,24,0.2702847123146057,0.0026794199366122484,0.9885407090187073,0.9868754148483276,0.8725651502609253,0.9143719673156738,0.9363503456115723,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,25,0.20387576520442963,0.0010433567222207785,0.9936529994010925,0.9934485554695129,0.611160159111023,0.9047244191169739,0.8331876397132874,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,26,0.2724858820438385,0.005362065974622965,0.9944831132888794,0.9931983351707458,0.8389073610305786,0.917556643486023,0.9315260052680969,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,27,0.2758341133594513,0.0007230336777865887,0.9940521717071533,0.9948984980583191,0.49230796098709106,0.9100693464279175,0.7869717478752136,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,28,0.470110148191452,0.002806391566991806,0.9925122261047363,0.9894470572471619,0.8252874612808228,0.9141354560852051,0.913360059261322,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,29,0.28169021010398865,0.0025618148501962423,0.991611659526825,0.9899413585662842,0.6191229224205017,0.9156400561332703,0.8327236771583557,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,30,0.3484615981578827,0.00491640530526638,0.984325110912323,0.9898799657821655,0.8070058822631836,0.9135628342628479,0.8853131532669067,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,31,0.21566703915596008,0.0023156600072979927,0.9932507872581482,0.9928376078605652,0.7093603610992432,0.9051624536514282,0.8432486653327942,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,0,0.2652970254421234,0.0027454467490315437,0.9943076372146606,0.9911287426948547,0.7240981459617615,0.9128838777542114,0.8323953151702881,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,1,0.27799031138420105,0.002408025786280632,0.9945316910743713,0.9947768449783325,0.804786205291748,0.9139891862869263,0.902521014213562,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,2,0.23114344477653503,0.003037103218957782,0.9937139749526978,0.9924681782722473,0.6794844269752502,0.9087868928909302,0.8564395308494568,1.0,1.0,0.0,0.0,0.0,0.0,0.0
