cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,err_Broad,err_DiscNRX,err_AINR,err_LS-LIN,err_LS-LMMSE,conf_b,conf_d,crc_b
S1,C,100.0,3.0,5.0,test,0,17,0.0,0.0,0.0,0.0,0.0,0.8819766640663147,0.8996890783309937,1.0
S1,C,100.0,3.0,5.0,test,0,18,0.0,0.0,0.0,1.0,0.0,0.8728817105293274,0.8845860958099365,1.0
S1,C,100.0,3.0,5.0,test,0,19,0.0,0.0,0.0,0.0,0.0,0.8941065669059753,0.8982020616531372,1.0
S1,C,100.0,3.0,5.0,test,0,20,0.0,0.0,0.0,0.0,0.0,0.8904850482940674,0.9055231809616089,1.0
S1,C,100.0,3.0,5.0,test,0,21,0.0,0.0,0.0,0.0,0.0,0.8993942737579346,0.9079671502113342,1.0
S1,C,100.0,3.0,5.0,test,0,22,0.0,0.0,0.0,0.0,0.0,0.9080963134765625,0.9133332371711731,1.0
S1,C,100.0,3.0,5.0,test,0,23,0.0,0.0,0.0,0.0,0.0,0.9030552506446838,0.9113550186157227,1.0
S1,C,100.0,3.0,5.0,test,0,24,0.0,0.0,0.0,0.0,0.0,0.8767566680908203,0.9037098288536072,1.0
S1,C,100.0,3.0,5.0,test,0,25,0.0,0.0,0.0,0.0,0.0,0.9068794846534729,0.91558837890625,1.0
S1,C,100.0,3.0,5.0,test,0,26,0.0,0.0,0.0,0.0,0.0,0.8862417936325073,0.8869308829307556,1.0
S1,C,100.0,3.0,5.0,test,0,27,0.0,0.0,0.0,0.0,0.0,0.8909780979156494,0.9131442308425903,1.0
S1,C,100.0,3.0,5.0,test,0,28,0.0,0.0,0.0,0.0,0.0,0.8988703489303589,0.8961527943611145,1.0
S1,C,100.0,3.0,5.0,test,0,29,0.0,0.0,0.0,0.0,0.0,0.8784929513931274,0.8963835835456848,1.0
S1,C,100.0,3.0,5.0,test,0,30,0.0,0.0,0.0,0.0,0.0,0.9028255343437195,0.9176208972930908,1.0
S1,C,100.0,3.0,5.0,test,0,31,0.0,0.0,0.0,0.0,0.0,0.893692135810852,0.9071508049964905,1.0
S1,C,100.0,3.0,5.0,test,1,0,0.0,0.0,0.0,0.0,0.0,0.9022135138511658,0.9164246916770935,1.0
S1,C,100.0,3.0,5.0,test,1,1,0.0,0.0,0.0,0.0,0.0,0.9071845412254333,0.9123573899269104,1.0
S1,C,100.0,3.0,5.0,test,1,2,0.0,0.0,0.0,0.0,0.0,0.9094875454902649,0.9131963849067688,1.0
S1,C,100.0,3.0,5.0,test,1,3,0.0,0.0,0.0,0.0,0.0,0.9072727560997009,0.9073114395141602,1.0
S1,C,100.0,3.0,5.0,test,1,4,0.0,0.0,0.0,0.0,0.0,0.9073162078857422,0.9006505012512207,1.0
S1,C,100.0,3.0,5.0,test,1,5,0.0,0.0,0.0,0.0,0.0,0.9010642170906067,0.8986032009124756,1.0
S1,C,100.0,3.0,5.0,test,1,6,0.0,0.0,0.0,0.0,0.0,0.9047295451164246,0.9059727787971497,1.0
S1,C,100.0,3.0,5.0,test,1,7,0.0,0.0,0.0,0.0,0.0,0.9124710559844971,0.9131692051887512,1.0
S1,C,100.0,3.0,5.0,test,1,8,0.0,0.0,0.0,0.0,0.0,0.8914864659309387,0.9115715622901917,1.0
S1,C,100.0,3.0,5.0,test,1,9,0.0,0.0,0.0,0.0,0.0,0.9085702896118164,0.9050767421722412,1.0
S1,C,100.0,3.0,5.0,test,1,10,0.0,0.0,0.0,0.0,0.0,0.9078319668769836,0.9057236909866333,1.0
S1,C,100.0,3.0,5.0,test,1,11,0.0,0.0,0.0,0.0,0.0,0.9091189503669739,0.9043814539909363,1.0
S1,C,100.0,3.0,5.0,test,1,12,0.0,0.0,0.0,0.0,0.0,0.8890557885169983,0.9214066863059998,1.0
S1,C,100.0,3.0,5.0,test,1,13,0.0,0.0,0.0,0.0,0.0,0.9021732807159424,0.8987736105918884,1.0
S1,C,100.0,3.0,5.0,test,1,14,0.0,0.0,0.0,0.0,0.0,0.9024556279182434,0.8854619860649109,1.0
S1,C,100.0,3.0,5.0,test,1,15,0.0,0.0,0.0,0.0,0.0,0.9031981825828552,0.9135699272155762,1.0
S1,C,100.0,3.0,5.0,test,1,16,0.0,0.0,0.0,0.0,0.0,0.9150336980819702,0.906067430973053,1.0
S1,C,100.0,3.0,5.0,test,1,17,0.0,0.0,0.0,0.0,0.0,0.9103620052337646,0.9148176908493042,1.0
S1,C,100.0,3.0,5.0,test,1,18,0.0,0.0,0.0,0.0,0.0,0.8949238061904907,0.9016702175140381,1.0
S1,C,100.0,3.0,5.0,test,1,19,0.0,0.0,0.0,0.0,0.0,0.9137274622917175,0.91652911901474,1.0
S1,C,100.0,3.0,5.0,test,1,20,0.0,0.0,0.0,0.0,0.0,0.9038673639297485,0.9039905071258545,1.0
S1,C,100.0,3.0,5.0,test,1,21,0.0,0.0,0.0,0.0,0.0,0.8896842002868652,0.9056873917579651,1.0
S1,C,100.0,3.0,5.0,test,1,22,0.0,0.0,0.0,0.0,0.0,0.8830079436302185,0.9132197499275208,1.0
